0, 17, 38308
0, 1, 38302
0, 10, 53558
0, 17, 53042
0, 12, 43899
1, 4, 85239
1, 3, 44884
1, 3, 37412
1, 8, 58416
1, 9, 39814
2, 6, 53985
2, 17, 63080
2, 9, 85791
2, 19, 37194
2, 3, 76871
3, 4, 32445
3, 1, 97224
3, 8, 76409
3, 6, 81547
3, 0, 52471
4, 15, 96242
4, 3, 72309
4, 9, 54815
4, 6, 94187
4, 16, 97208
5, 5, 56902
5, 0, 23414
5, 8, 55770
5, 5, 27745
5, 6, 61599
6, 12, 21675
6, 4, 53968
6, 7, 66164
6, 13, 94933
6, 1, 92957
7, 9, 30137
7, 11, 85128
7, 18, 30088
7, 14, 32186
7, 10, 84664
8, 1, 39714
8, 4, 27987
8, 15, 70023
8, 17, 93690
8, 8, 93827
9, 4, 80146
9, 8, 20896
9, 1, 55230
9, 13, 29631
9, 2, 46368
