mel	output	text
mels/LJ001-0110.pt	001_devset_LJ001-0110.wav	Even the Caslon type when enlarged shows great shortcomings in this respect:
mels/LJ002-0018.pt	002_devset_LJ002-0018.wav	The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,
mels/LJ002-0043.pt	003_devset_LJ002-0043.wav	long narrow rooms -- one thirty-six feet, six twenty-three feet, and the eighth eighteen,
mels/LJ003-0111.pt	004_devset_LJ003-0111.wav	He was in consequence put out of the protection of their internal law, end quote. Their code was a subject of some curiosity.
mels/LJ003-0345.pt	005_devset_LJ003-0345.wav	All the committee could do in this respect was to throw the responsibility on others.
mels/LJ004-0045.pt	006_devset_LJ004-0045.wav	Mr. Sturges Bourne, Sir James Mackintosh, Sir James Scarlett, and William Wilberforce.
mels/LJ004-0096.pt	007_devset_LJ004-0096.wav	the fatal consequences whereof might be prevented if the justices of the peace were duly authorized
mels/LJ004-0152.pt	008_devset_LJ004-0152.wav	although at Mr. Buxton's visit a new jail was in process of erection, the first step towards reform since Howard's visitation in seventeen seventy-four.
mels/LJ005-0014.pt	009_devset_LJ005-0014.wav	Speaking on a debate on prison matters, he declared that
mels/LJ005-0079.pt	010_devset_LJ005-0079.wav	and improve the morals of the prisoners, and shall insure the proper measure of punishment to convicted offenders.
mels/LJ005-0201.pt	011_devset_LJ005-0201.wav	as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.
mels/LJ007-0154.pt	012_devset_LJ007-0154.wav	These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,
mels/LJ008-0111.pt	013_devset_LJ008-0111.wav	They entered a "stone cold room," and were presently joined by the prisoner.
mels/LJ008-0258.pt	014_devset_LJ008-0258.wav	Let me retrace my steps, and speak more in detail of the treatment of the condemned in those bloodthirsty and brutally indifferent days,
mels/LJ008-0278.pt	015_devset_LJ008-0278.wav	or theirs might be one of many, and it might be considered necessary to "make an example."
mels/LJ008-0294.pt	016_devset_LJ008-0294.wav	nearly indefinitely deferred.
mels/LJ008-0307.pt	017_devset_LJ008-0307.wav	afterwards express a wish to murder the Recorder for having kept them so long in suspense.
mels/LJ009-0076.pt	018_devset_LJ009-0076.wav	We come to the sermon.
mels/LJ009-0114.pt	019_devset_LJ009-0114.wav	Mr. Wakefield winds up his graphic but somewhat sensational account by describing another religious service, which may appropriately be inserted here.
mels/LJ009-0238.pt	020_devset_LJ009-0238.wav	After this the sheriffs sent for another rope, but the spectators interfered, and the man was carried back to jail.
mels/LJ011-0096.pt	021_devset_LJ011-0096.wav	He married a lady also belonging to the Society of Friends, who brought him a large fortune, which, and his own money, he put into a city firm,
mels/LJ012-0035.pt	022_devset_LJ012-0035.wav	the number and names on watches, were carefully removed or obliterated after the goods passed out of his hands.
mels/LJ012-0042.pt	023_devset_LJ012-0042.wav	which he kept concealed in a hiding-place with a trap-door just under his bed.
mels/LJ012-0161.pt	024_devset_LJ012-0161.wav	he was reported to have fallen away to a shadow.
mels/LJ012-0235.pt	025_devset_LJ012-0235.wav	While they were in a state of insensibility the murder was committed.
mels/LJ012-0250.pt	026_devset_LJ012-0250.wav	On the seventh July, eighteen thirty-seven,
mels/LJ013-0164.pt	027_devset_LJ013-0164.wav	who came from his room ready dressed, a suspicious circumstance, as he was always late in the morning.
mels/LJ014-0010.pt	028_devset_LJ014-0010.wav	yet he could not overcome the strange fascination it had for him, and remained by the side of the corpse till the stretcher came.
mels/LJ014-0020.pt	029_devset_LJ014-0020.wav	He was soon afterwards arrested on suspicion, and a search of his lodgings brought to light several garments saturated with blood;
mels/LJ014-0030.pt	030_devset_LJ014-0030.wav	These were damnatory facts which well supported the prosecution.
mels/LJ014-0076.pt	031_devset_LJ014-0076.wav	He was seen afterwards smoking and talking with his hosts in their back parlor, and never seen again alive.
mels/LJ014-0110.pt	032_devset_LJ014-0110.wav	At the first the boxes were impounded, opened, and found to contain many of O'Connor's effects.
mels/LJ014-0263.pt	033_devset_LJ014-0263.wav	When other pleasures palled he took a theatre, and posed as a munificent patron of the dramatic art.
mels/LJ015-0203.pt	034_devset_LJ015-0203.wav	but were the precautions too minute, the vigilance too close to be eluded or overcome?
mels/LJ016-0020.pt	035_devset_LJ016-0020.wav	He never reached the cistern, but fell back into the yard, injuring his legs severely.
mels/LJ016-0138.pt	036_devset_LJ016-0138.wav	at a distance from the prison.
mels/LJ016-0179.pt	037_devset_LJ016-0179.wav	contracted with sheriffs and conveners to work by the job.
mels/LJ016-0288.pt	038_devset_LJ016-0288.wav	"Müller, Müller, He's the man," till a diversion was created by the appearance of the gallows, which was received with continuous yells.
mels/LJ016-0318.pt	039_devset_LJ016-0318.wav	Other officials, great lawyers, governors of prisons, and chaplains supported this view.
mels/LJ017-0044.pt	040_devset_LJ017-0044.wav	and the deepest anxiety was felt that the crime, if crime there had been, should be brought home to its perpetrator.
mels/LJ017-0070.pt	041_devset_LJ017-0070.wav	but his sporting operations did not prosper, and he became a needy man, always driven to desperate straits for cash.
mels/LJ017-0131.pt	042_devset_LJ017-0131.wav	even when the high sheriff had told him there was no possibility of a reprieve, and within a few hours of execution.
mels/LJ018-0081.pt	043_devset_LJ018-0081.wav	his defense being that he had intended to commit suicide, but that, on the appearance of this officer who had wronged him,
mels/LJ018-0098.pt	044_devset_LJ018-0098.wav	and recognized as one of the frequenters of the bogus law-stationers. His arrest led to that of others.
mels/LJ018-0239.pt	045_devset_LJ018-0239.wav	His disappearance gave color and substance to evil reports already in circulation that the will and conveyance above referred to
mels/LJ019-0186.pt	046_devset_LJ019-0186.wav	seeing that since the establishment of the Central Criminal Court, Newgate received prisoners for trial from several counties,
mels/LJ019-0257.pt	047_devset_LJ019-0257.wav	Here the tread-wheel was in use, there cellular cranks, or hard-labor machines.
mels/LJ019-0273.pt	048_devset_LJ019-0273.wav	which Sir Joshua Jebb told the committee he considered the proper elements of penal discipline.
