0, 14, 0
0, 3, 0
0, 18, 1
0, 15, 1
0, 2, 0
0, 1, 1
0, 5, 1
0, 7, 0
0, 12, 1
0, 19, 0
1, 9, 1
1, 0, 0
1, 16, 1
1, 2, 0
1, 8, 1
1, 17, 0
1, 17, 1
1, 9, 0
1, 5, 0
1, 12, 1
2, 8, 1
2, 0, 1
2, 1, 1
2, 0, 0
2, 4, 0
2, 17, 1
2, 18, 0
2, 3, 0
2, 10, 0
2, 18, 1
3, 14, 1
3, 4, 0
3, 0, 0
3, 16, 1
3, 6, 0
3, 17, 1
3, 0, 1
3, 0, 0
3, 3, 1
3, 0, 1
4, 13, 1
4, 8, 1
4, 1, 1
4, 14, 0
4, 18, 0
4, 7, 1
4, 19, 1
4, 3, 1
4, 17, 1
4, 17, 0
5, 8, 1
5, 10, 0
5, 4, 0
5, 19, 0
5, 12, 0
5, 3, 1
5, 5, 0
5, 8, 1
5, 19, 1
5, 12, 0
